Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SwapMate_Web_TestSuite,,,,2022-05-24 19:01:14,2022-05-24 19:02:19,1m - 5.495s,FAILED
,,,,,,,
Test Cases/Admin/Login,,,,2022-05-24 19:01:14,2022-05-24 19:02:18,1m - 4.095s,FAILED
"openBrowser("""")",,,,2022-05-24 19:01:14,2022-05-24 19:02:18,1m - 3.752s,FAILED
,,,,,,,
Test Cases/Admin/Page Navigation,,,,2022-05-24 19:02:18,2022-05-24 19:02:18,0.484s,FAILED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_Dashboard""))",,,,2022-05-24 19:02:18,2022-05-24 19:02:18,0.106s,FAILED
,,,,,,,
Test Cases/Admin/Add stock items,,,,2022-05-24 19:02:18,2022-05-24 19:02:19,0.392s,FAILED
"click(findTestObject(""Object Repository/Add stock/Page_SwapMate/i_New_right fas fa-angle-left_1""))",,,,2022-05-24 19:02:19,2022-05-24 19:02:19,0.049s,FAILED
,,,,,,,
Test Cases/Admin/Search stock items,,,,2022-05-24 19:02:19,2022-05-24 19:02:19,0.270s,FAILED
"click(findTestObject(""Object Repository/Stock_Search/Page_SwapMate/i_New_right fas fa-angle-left""))",,,,2022-05-24 19:02:19,2022-05-24 19:02:19,0.047s,FAILED
