Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SwapMate_TestSuite,,,,2022-05-20 22:04:43,2022-05-20 22:04:48,5.493s,FAILED
,,,,,,,
Test Cases/Admin Login_Logout,,,,2022-05-20 22:04:43,2022-05-20 22:04:47,4.068s,FAILED
"openBrowser("""")",,,,2022-05-20 22:04:43,2022-05-20 22:04:47,3.749s,FAILED
,,,,,,,
Test Cases/Admin Page Navigation,,,,2022-05-20 22:04:47,2022-05-20 22:04:48,0.398s,FAILED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_Dashboard""))",,,,2022-05-20 22:04:48,2022-05-20 22:04:48,0.112s,FAILED
,,,,,,,
Test Cases/Add stock items,,,,2022-05-20 22:04:48,2022-05-20 22:04:48,0.387s,FAILED
"click(findTestObject(""Object Repository/Add stock/Page_SwapMate/i_New_right fas fa-angle-left_1""))",,,,2022-05-20 22:04:48,2022-05-20 22:04:48,0.055s,FAILED
,,,,,,,
Test Cases/Search stock items,,,,2022-05-20 22:04:48,2022-05-20 22:04:48,0.382s,FAILED
"click(findTestObject(""Object Repository/Stock_Search/Page_SwapMate/i_New_right fas fa-angle-left""))",,,,2022-05-20 22:04:48,2022-05-20 22:04:48,0.060s,FAILED
