Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SwapMate_Mobile_TestSuite,,,,2022-05-24 19:14:07,2022-05-24 19:14:12,5.446s,FAILED
,,,,,,,
Test Cases/Customer/Login,,,,2022-05-24 19:14:07,2022-05-24 19:14:12,4.540s,FAILED
"startApplication(""C:\Users\prabh\Documents\GitHub\SwapMateMobile\build\app\outputs\flutter-apk\app.apk"", true)",,,,2022-05-24 19:14:08,2022-05-24 19:14:12,4.021s,FAILED
,,,,,,,
Test Cases/Customer/Logout,,,,2022-05-24 19:14:12,2022-05-24 19:14:12,0.568s,FAILED
"tap(findTestObject(""Object Repository/Customer/Logout/android.widget.Button""), 0)",,,,2022-05-24 19:14:12,2022-05-24 19:14:12,0.138s,PASSED
